"title","school","location","description","degree","pace","duration","languages","start","based"
"Bachelor of Science in Data Science and Analytics","St. Ambrose University","Davenport,USA","If you love working with and manipulating numbers, analyzing outcomes, and helping others understand how data can work for them, a degree in Data Science and Analytics from St                                            ...                                                    +                        ","BSc","Full-time","4 years","English","Jan 2020","Campus"
"Bachelor of Science in Data Science","Bay Atlantic University - Washington, D.C.","Washington,USA","BAU’s program in Data Science integrates scientific methods from statistics, computer science, and data-based business management to extract knowledge from data and drive deci                                            ...                                                    +                        ","BA","Full-time","4 years","English","Jan 2020","Campus"
"Bachelor in Software and Data Engineering","Singidunum University","Belgrade,Serbia+1More","Our Software and Data Engineering study program is precisely tailored to educate young people for these professional roles. Initially, we have reviewed hundreds of job descrip                                            ...                                                    +                        ","Bachelor","Full-time","4 years","English,Serbian","","Campus"
"BS in Data Science","University of the Sciences in Philadelphia","Philadelphia,USA","The USciences Data Science bachelor’s program provides you with the knowledge, skills, and technical foundation to make sense of an avalanche of data, unlock scientific insigh                                            ...                                                    +                        ","BSc","Full-time","4 years","English","01 Sep 2020","Campus"
"Bachelor Data Analytics","Ohio Northern University","Ada,USA","Big data drives the future. Prepare for this fast-growing field by majoring in data analytics at O.N.U. You’ll learn how to capture, store and analyze large data sets. And, yo                                            ...                                                    +                        ","BSc","Full-time","4 years","English","24 Aug 2020","Campus"
"Online BSc Data Science and Business Analytics","The London School of Economics and Political Science","Holborn,UnitedKingdom","Start or continue your bachelor’s online with the University of London. Academic direction from LSE ranked #2 in the world for social sciences and management. Complete in as f                                            ...                                                    +                        ","BSc","Full-time","3 years","English","","Online"
"Bachelor in Data Analytics","Assumption College","Worcester,USA","Data is the basic raw material of the 21st Century. Industry, government and NGO’s can now know more about us than ever before in human history: what we buy, what we read, wha                                            ...                                                    +                        ","Bachelor","Full-time","4 years","English","Sep 2020","Campus"
"Bachelor of Science in Applied Statistics and Data Science","Yerevan State University","Yerevan,Armenia","The 21st Century has brought new challenges in the analysis of data, and it is increasingly apparent that solutions to these are both statistical and computational. This has l                                            ...                                                    +                        ","BSc","Full-time","4 years","English","01 Sep 2020","Campus"
"Bachelor of Engineering in Data and Systems Engineering","City University of Hong Kong","KowloonTong,HongKong","This major aims at equipping students with strong analytical and decision-making skills in analyzing, managing, and improving nowadays enterprise-class systems via offering so                                            ...                                                    +                        ","Bachelor","Full-time","4 years","English","Sep 2020","Campus"
"Bachelor Informatics","IMC University of Applied Sciences Krems","KremsanderDonau,Austria","The internet of things, Industry 4.0 and social media; data mining and machine learning; the exponential growth in storage capacity and increase in cloud-based processing powe                                            ...                                                    +                        ","Bachelor","Full-time","6 semesters","English","01 Sep 2020","Campus"
