"title","school","location","description","degree","pace","duration","languages","start","based"
"Master of Science in Data Analytics","Drew University","Madison,USA","The digitization of information—social networks, business transactions, healthcare records and more—has transformed the world, necessitating a demand for people who understand                                            ...                                                    +                        ","MSc","Full-time","2 years","English","25 Aug 2020","Campus"
"Master of Data Science","Harbour Space","Barcelona,Spain","The MSc Data Science program is designed for those who desire to deepen their comprehension of all aspects of the data sciences. Applicants could be graduates from other degre                                            ...                                                    +                        ","Master","Full-time","2 years","English","","Campus"
"MSc Cyber Security and Data Governance","GISMA ULaw","Berlin,Germany","The MSc in Cyber Security and Data Governance Security will teach you about today’s digital world. Through a core focus on critical problem-solving skills, the programme will                                             ...                                                    +                        ","MSc","Full-time","","English","Apr 2020","Campus"
"MSc Data Analytics and Marketing","Arden Study Centre, Berlin","Berlin,Germany","Learn a range of essential marketing skills, including analysing statistics and interpreting large sets of data, with this programme delivered and awarded by Arden University.                                            ...                                                    +                        ","MSc","Full-time","12 - 24 months","English","Apr 2020","Campus"
"MSc Cyber Security and Data Governance","The University of Law Business School Postgraduate","London,UnitedKingdom","The MSc Cyber Security and Data Governance course focuses on a combination of technology, business and policy. It is ideal for students who have an interest in developing an i                                            ...                                                    +                        ","MSc","Full-time","12 - 18 months","English","Sep 2020","Campus"
"Master of Science in Data Science","European Leadership University","Amsterdam,Netherlands","The Master in Data Science programme consists of 60 ECTS credits coursework with a final project. Our programmes are flexible and work-based: Study from anywhere in the world                                             ...                                                    +                        ","Master","Online & Campus Combined","12 - 16 months","English","","Online & Campus Combined"
"MSc Data Science","Middlesex University Dubai","Dubai,UnitedArabEmirates","The role of a data scientist is rapidly becoming a required position for any company that wishes to take full advantage of the data they collect. There is an increased demand                                             ...                                                    +                        ","MSc","Full-time","","English","Sep 2020","Campus"
"Master of Science in Data Analytics","University of Indianapolis, School of Business","Indianapolis,USA","Data in all forms continues to expand and become more readily available to both businesses and the consumer. As this happens, the demand for those who can interpret and apply                                             ...                                                    +                        ","MSc","Full-time","5 semesters","English","24 Aug 2020","Campus"
"Master in Practical Data Analysis","Ural Federal University","Yekaterinburg,Russia","The program focuses on various applications of data science and data analysis. You will learn how to build artificial intelligence systems using state-of-the-art machine learn                                            ...                                                    +                        ","Master","Full-time","2 years","English","Sep 2020","Campus"
"MSc Data Analytics & Project Management","Arden University","Coventry,UnitedKingdom","The modern workplace relies on data, and those with the skills to handle and interpret an organisation’s data are in high demand. This MSc Data Analytics & Project Managem                                            ...                                                    +                        ","MSc","Full-time","18 - 60 months","English","Apr 2020","Online"
"MSc in Accounting (Data and Analytics)","Singapore Management University","Singapore","The MSA program is the first specialized Master’s degree in accounting data and analytics in Asia. Unlike any other postgraduate analytics program, the MSA’s data and analytic                                            ...                                                    +                        ","MSc","Full-time","14 - 24 months","English","","Campus"
"Master in Data Science","Stevens Institute of Technology - Graduate Studies","Hoboken,USA","Learn the theoretical knowledge and practical skills necessary to analyze big data for functional application in business and technology.                                    ","Master","Full-time","2 years","English","","Campus"
"Master in Data Science","Rome Business School","Rome,Italy+1More","Data Science is the concept to unify statistics, data analysis, machine learning and understand analyze actual phenomena with data with a scope to increase business profitabil                                            ...                                                    +                        ","Master","Part-time","","English","Apr 2020","Campus"
"MSc in Digital Transformation","Montpellier Business School","Montpellier,France","Through this program, you will understand and consider the effects of the digital revolution. The lectures, seminars and case studies all along the year will give you the tool                                            ...                                                    +                        ","MSc","Full-time","18 months","English","Sep 2020","Campus"
"MSc in Data Analytics and Business Economics (MScDABE)","Hong Kong Baptist University (HKBU) School of Business","KowloonTong,HongKong","The Master of Science in Data Analytics and Business Economics is thoughtfully designed to serve the increasing demand for talents in the area of data analytics and business e                                            ...                                                    +                        ","MSc","Full-time","","English","Sep 2020","Campus"
"MSc Data Analytics and Information Systems Management","Arden Study Centre, Berlin","Berlin,Germany","Big Data is going to be worth $102bn by 2019 according to IDC research which means organisations will need skilled analysts to maximise the opportunities it has to offer. This                                            ...                                                    +                        ","MSc","Full-time","12 - 24 months","English","Apr 2020","Campus"
