Land,Stadt,Start,Laufzeit [Typ],"Laufzeit [min,m]","Laufzeit [max,m]",Schule-1,rank_overall,rank_presence,rank_impact,rank_open,rank_excellence,Studiengang,Schule,Beschreibung,Abschluss,Modus,Sprache,Unterrichtstyp
Hong Kong,Kowloon Tong,Sep,years,48,,City University of Hong Kong,186,648,298,159,166,Bachelor of Engineering in Computer and Data Engineering,City University of Hong Kong,We aim to provide students with a strong foundation and broad skills in the computer and data technologies. Students will be equipped with the theoretical and practical aspect                                            ...                                                    +                        ,Bachelor,Full-time,English,Campus
Hong Kong,Kowloon Tong,Sep,years,48,,City University of Hong Kong,186,648,298,159,166,Bachelor of Science in Data Science,City University of Hong Kong,"This major is to provide graduates in data science with essential training of quantitative knowledge, statistical theory, data mining technology and computing tools for the ef                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
Hong Kong,Kowloon Tong,Sep,years,48,,City University of Hong Kong,186,648,298,159,166,Bachelor of Engineering in Data and Systems Engineering,City University of Hong Kong,"This major aims at equipping students with strong analytical and decision-making skills in analyzing, managing, and improving nowadays enterprise-class systems via offering so                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
Australia,Brisbane,,years,24,,Queensland University of Technology,208,579,231,195,254,Master of Data Analytics,Queensland University of Technology,Develop data analytics skills that will future focus your career with a Master of Data Analytics degree that turns data into insight and intelligence.                                    ,Master,Full-time,English,Campus
United Kingdom,Claverton Down,,years,24,,University of Bath,316,987,276,283,413,MSc Data Science (with Placement Year),University of Bath,Data science drives a significant proportion of global economic activity and is influencing scientific progress across numerous fields. This course provides you with the tools                                            ...                                                    +                        ,Master,Full-time,English,Campus
Australia,Adelaide,,years,24,,University of South Australia,379,1749,494,326,370,Master of Data Science,University of South Australia,"The Master of Data Science gives you current knowledge of data science techniques and research. It caters for students with a mathematics or an IT background, with courses tai                                            ...                                                    +                        ",Master,Full-time,English,Campus
United Kingdom,Swansea,Sep,,,,Swansea University,523,3496,706,376,535,MSc in Data Science,Swansea University,The MSc in Data Science gives you a solid grounding in data science concepts and technologies for extracting information and constructing knowledge from data.                                    ,Master,Full-time,English,Campus
USA,Newark,Sep,,,,New Jersey Institute of Technology,556,2050,486,420,808,Master of Science in Data Science,New Jersey Institute of Technology,As data accumulates across broad sectors of industry and academia we see a need for data scientists equipped with skills to assist with data-based decision making. For example                                            ...                                                    +                        ,Master,,English,Campus
United Kingdom,Stirling,Sep,months,,,University of Stirling,595,2008,594,490,789,BSc (Hons) Data Science,University of Stirling,This BSc (Hons) Data Science will give you an in-depth awareness and appreciation of the underlying computing and mathematical principles driving data science technologies. It                                            ...                                                    +                        ,Bachelor,Full-time,English,Campus
United Kingdom,Stirling,Sep,months,,,University of Stirling,595,2008,594,490,789,MSc in Finance and Data Analytics,University of Stirling,"As the modern financial industry increasingly turns to big data to inform investment decisions, there is a growing demand for professionals with a specialisation in data analy                                            ...                                                    +                        ",Master,Full-time,English,Campus
United Kingdom,Stirling,Sep,months,,,University of Stirling,595,2008,594,490,789,MSc in Data Science for Business (Online),University of Stirling,Take your place on the cutting edge of today’s evolving business landscape with our online MSc in Data Science for Business. The course equips you to become a data-driven lead                                            ...                                                    +                        ,Master,Part-time,English,Online
