"name","rank_overall","rank_presence","rank_impact","rank_open","rank_excellence"
"ranking","","","","",""
"Harvard University","1","1","2","1","1"
"Stanford University","2","3","3","2","2"
"Massachusetts Institute of Technology","3","2","1","4","8"
"University of California Berkeley","4","18","4","3","17"
"University of Washington","5","25","5","56","10"
"University of Michigan","6","12","8","11","7"
"University of Oxford","7","21","15","8","4"
"Columbia University New York","8","57","9","7","14"
"Cornell University","8","9","6","17","22"
"University of Pennsylvania","10","41","12","10","15"
"University of Cambridge","11","67","19","6","12"
"University of California Los Angeles UCLA","12","52","17","9","13"
"Yale University","13","74","10","13","20"
"University of Wisconsin Madison","14","29","14","30","34"
"(2) Johns Hopkins University","15","118","34","41","6"
"University of California San Diego","16","120","29","5","19"
"University of Minnesota System","17","29","18","20","35"
"University of Toronto","18","43","38","24","11"
"Duke University","19","48","23","14","21"
"(2) Pennsylvania State University","20","20","11","49","47"
"UCL University College London","21","109","48","12","5"
"Princeton University","22","37","7","15","84"
"University of Texas Austin","23","41","16","27","55"
"New York University","24","75","24","26","39"
"University of Chicago","25","23","20","19","58"
"Northwestern University","26","215","33","16","32"
"University of North Carolina Chapel Hill","27","101","31","22","42"
"University of Illinois Urbana Champaign","28","24","28","50","56"
"University of British Columbia","29","47","46","28","31"
"University of Southern California","30","79","26","23","60"
"University of Florida","31","57","27","34","61"
"University of California Irvine","32","280","13","25","100"
"Eidgenössische Technische Hochschule ETH Zürich / Swiss Federal Institute of Technology Zurich","32","27","50","45","30"
"Ohio State University","34","63","44","70","43"
"University of Maryland College Park","35","105","25","40","74"
"(2) California Institute of Technology Caltech","36","19","54","35","44"
"Purdue University","37","113","22","76","94"
"Carnegie Mellon University","38","71","21","36","124"
"Michigan State University","39","48","30","38","96"
"Tsinghua University / 清华大学","40","189","103","97","9"
"University of Pittsburgh","41","132","49","53","57"
"Washington University Saint Louis","42","129","47","29","62"
"University of Edinburgh","43","133","56","63","54"
"Boston University","44","167","43","32","77"
"University of Arizona","45","57","32","66","99"
"Rutgers The State University of New Jersey","46","193","40","52","80"
"University of Hong Kong","47","149","148","84","3"
"University of California San Francisco","48","518","96","21","25"
"University of Melbourne","49","211","93","58","27"
"University of Queensland","50","8","99","55","36"
"University of Colorado Boulder","51","182","42","51","88"
"Arizona State University","52","109","35","33","113"
"National University of Singapore","53","135","100","54","29"
"Peking University / 北京大学","54","62","123","180","16"
"McGill University","55","121","66","57","59"
"Imperial College London","56","416","131","18","18"
"Georgia Institute of Technology","57","220","59","46","72"
"University of New South Wales","58","239","82","71","51"
"University of Virginia","59","139","37","67","126"
"Utrecht University / Universiteit Utrecht","60","191","92","92","41"
"Texas A&M University","60","195","45","65","114"
"Vanderbilt University","62","398","70","43","67"
"University of Manchester","63","286","102","47","50"
"University of Utah","64","206","55","78","103"
"University of Amsterdam / Universiteit van Amsterdam","65","160","117","86","40"
"University of California Santa Barbara","66","170","52","39","148"
"University of Sydney","67","741","141","60","24"
"University of Tokyo / 東京大学","67","43","105","265","45"
"University of Alberta","69","271","86","68","75"
"Emory University","70","563","98","42","70"
"Brown University","71","526","58","64","137"
"University of Iowa","72","192","67","75","133"
"(2) Universidade de São Paulo USP","73","6","137","72","66"
"King's College London","74","497","153","31","49"
"North Carolina State University","74","131","51","109","174"
"Indiana University Bloomington","76","272","39","100","213"
"University of Copenhagen / Københavns Universitet","77","48","184","79","38"
"Australian National University","78","154","80","73","130"
"Catholic University of Leuven","79","79","175","77","52"
"Virginia Polytechnic Institute and State University","80","268","60","107","184"
"Shanghai Jiao Tong University / 上海交通大学","81","177","185","268","33"
"École Polytechnique Fédérale de Lausanne","82","248","124","59","91"
"Monash University","83","413","200","44","48"
"Zhejiang University (National Che Kiang University) / 浙江大学","84","119","205","191","37"
"University of Groningen / Rijksuniversiteit Groningen","85","143","149","138","73"
"University of Helsinki / Helsingin yliopisto","86","38","126","128","116"
"Tufts University","87","149","53","157","243"
"University of Rochester","88","543","84","89","172"
"University of Oslo / Universitetet i Oslo","89","22","125","120","129"
"University of Waterloo","90","299","88","115","167"
"Nanyang Technological University","91","183","252","104","46"
"University of Massachusetts Amherst","92","288","73","94","210"
"City University of New York","92","113","62","124","252"
"Iowa State University","94","159","72","165","207"
"Ghent University / Universiteit Gent","95","17","230","85","68"
"Technische Universität München","96","168","167","131","81"
"University of Delaware","97","550","36","113","339"
"Ludwig Maximilians Universität München","98","168","146","253","89"
"Ruprecht Karls Universität Heidelberg","99","60","163","149","104"
"Uppsala University / Uppsala Universitet","99","151","159","119","105"
"ranking","","","","",""
"University of Georgia","101","280","69","98","241"
"University of Calgary","102","306","121","101","143"
"Kyoto University / 京都大学","103","63","166","161","97"
"University of Leeds","104","648","113","133","146"
"University of Maryland Baltimore","105","1785","301","171","23"
"University of Illinois Chicago","106","641","101","136","168"
"Oregon State University","106","208","65","142","275"
"University of Adelaide","108","663","140","93","122"
"University at Buffalo","109","508","77","155","229"
"Colorado State University","110","128","68","143","289"
"Lund University / Lunds Universitet","111","53","180","108","112"
"University of Warwick","112","353","120","152","153"
"University of Nottingham","113","607","152","122","114"
"Rice University","114","552","75","81","262"
"Università di Bologna (Università degli Studi di Bologna)","114","56","197","118","106"
"Universität Zürich","116","200","210","91","87"
"Chinese University of Hong Kong","117","156","164","88","127"
"University of Nebraska Lincoln","118","33","64","234","312"
"University of Glasgow","119","69","115","782","125"
"University of Tennessee Knoxville","120","562","94","189","203"
"Florida State University","121","453","81","126","263"
"Delft University of Technology TU Delft","122","176","151","172","144"
"National Taiwan University","123","53","144","206","157"
"Aarhus University / Aarhus Universitet","124","107","270","153","78"
"(1) Seoul National University / 서울대학교","125","82","295","80","79"
"Dartmouth College","126","564","79","134","276"
"Universitat de Barcelona","127","68","189","170","123"
"University of California Riverside","127","71","111","83","248"
"VU University of Amsterdam / Vrije Universiteit Amsterdam","129","522","286","132","63"
"Fudan University (Shanghai Medical University) / 复旦大学","130","458","187","331","83"
"University of Miami","131","736","116","111","197"
"University of California Santa Cruz","132","227","95","90","271"
"Bristol University","132","382","224","156","90"
"University of Kentucky","134","224","91","184","257"
"George Washington University","135","665","71","209","281"
"University of Western Australia","136","630","203","96","116"
"Simon Fraser University","137","217","78","187","311"
"University of Connecticut","137","515","108","129","228"
"Temple University","139","672","106","103","233"
"University of Science & Technology of China / 中国科学技术大学","140","342","245","264","82"
"University of Sheffield","141","1369","176","102","121"
"McMaster University","142","652","174","37","164"
"Università degli Studi di Roma La Sapienza","143","202","364","127","64"
"University of Notre Dame","144","327","90","154","306"
"University of Kansas","144","518","122","177","216"
"Georgetown University","146","411","63","160","381"
"Case Western Reserve University","147","876","145","105","189"
"Newcastle University Newcastle upon Tyne","148","599","161","139","171"
"(2) Tel Aviv University","149","244","215","116","147"
"University of South Florida","150","177","83","162","351"
"Karlsruhe Institute of Technology (Universität Karlsruhe)","151","189","169","183","170"
"University of New Mexico","152","287","112","181","267"
"Universidad Nacional Autónoma de México","152","4","110","179","331"
"Universität Wien","154","102","119","220","266"
"Université de Geneve","155","419","168","114","190"
"University of Auckland","156","175","202","140","178"
"Universität Hamburg","157","213","194","427","135"
"University of Missouri Columbia","158","574","97","145","334"
"Rheinisch Westfalische Technische Hochschule Aachen","159","181","190","217","176"
"Karolinska Institute / Karolinska Institutet","159","670","445","69","69"
"Rheinische Friedrich Wilhelms Universität Bonn","161","606","211","230","149"
"Università degli Studi di Padova","162","141","402","99","85"
"University of Cincinnati","163","667","150","163","225"
"Wageningen University & Research Centre","164","86","300","112","141"
"Washington State University Pullman","165","369","74","210","394"
"Université de Montréal","165","298","183","130","205"
"Royal Institute of Technology / Kungliga Tekniska Högskolan","167","240","191","219","188"
"Università degli Studi di Milano","168","374","371","110","98"
"Western University (University of Western Ontario)","169","429","188","148","206"
"Wuhan University / 武汉大学","169","247","243","448","131"
"George Mason University","171","489","61","202","480"
"University of Houston","172","613","104","141","360"
"Technical University of Denmark / Danmarks Tekniske Universitet","173","197","308","150","150"
"University of Exeter","174","803","199","123","202"
"Nanjing University / 南京大学","175","766","315","337","95"
"University of Alabama Birmingham","176","864","239","178","162"
"Queen Mary University of London","177","806","267","121","160"
"University of Oregon","177","354","85","151","442"
"University of Gothenburg / Göteborgs Universitet","179","105","266","137","200"
"Universität Bern","180","416","275","200","156"
"University of South Carolina","181","636","132","167","299"
"London School of Economics and Political Science","182","483","89","147","440"
"University of Bergen / Universitetet i Bergen","183","75","195","233","255"
"University of York","184","378","162","125","303"
"Wayne State University","185","813","173","232","239"
"City University of Hong Kong","186","648","298","159","166"
"Northeastern University","187","800","127","487","288"
"(1) Norwegian University of Science & Technology / Norges Teknisk-Naturvitenskapelige Universitet","188","145","260","247","209"
"Queen's University Kingston","189","793","133","166","348"
"University of Oklahoma","190","1052","143","321","290"
"Hong Kong University of Science & Technology","190","593","255","158","211"
"Universidad Complutense de Madrid","192","109","220","169","270"
"Stony Brook University","193","982","269","87","208"
"Osaka University / 大阪大学","194","220","346","173","163"
"Freie Universität Berlin","195","256","135","332","338"
"Harbin Institute of Technology / 哈尔滨工业大学","196","216","470","344","92"
"Université d'Ottawa / University of Ottawa","197","630","241","212","219"
"Stockholm University / Stockholms Universitet","198","301","323","190","182"
"Technische Universität Dresden","199","576","271","295","193"
"Università degli Studi di Napoli Federico II","200","333","505","168","111"
"ranking","","","","",""
"University of Victoria British Columbia","200","382","134","266","363"
"Hebrew University of Jerusalem","200","235","222","95","296"
"Huazhong University of Science & Technology / 华中科技大学","203","4035","432","348","71"
"Charles University in Prague / Univerzita Karlova v Praze UK","204","13","251","588","218"
"M D Anderson Cancer Center University of Texas","205","3324","478","48","107"
"Universidade do Porto","205","63","327","290","196"
"Virginia Commonwealth University","207","898","158","231","317"
"Queensland University of Technology","208","579","231","195","254"
"Universität Freiburg","209","368","244","274","236"
"Universitat Autònoma de Barcelona","210","112","383","336","158"
"Xi'An Jiaotong University / 西安交通大学","210","336","449","350","119"
"Hong Kong Polytechnic University","212","659","375","205","159"
"Linköping University / Linköpings Universitet","213","364","179","327","304"
"Curtin University of Technology","214","906","274","204","221"
"York University","215","330","129","251","421"
"Shandong University / 山东大学","215","388","351","554","140"
"Universität Tubingen","217","453","290","192","232"
"Eindhoven University of Technology / Technische Universiteit Eindhoven","218","321","233","249","279"
"Louisiana State University","218","408","130","270","402"
"(1) Universitat de València","218","97","325","240","227"
"Cardiff University","221","1085","335","194","185"
"Brigham Young University","222","45","76","307","615"
"Lomonosov Moscow State University / Московский государственный университет М В Ломоносова","223","53","213","577","277"
"Trinity College Dublin","224","290","216","199","318"
"University of Central Florida","224","630","142","203","395"
"Erasmus University of Rotterdam / Erasmus Universiteit Rotterdam","226","688","583","373","76"
"University of Liverpool","227","1539","350","293","154"
"Humboldt Universität zu Berlin","228","224","206","366","295"
"Drexel University","229","839","136","284","384"
"Aalto University / Aalto-yliopisto","230","163","273","305","258"
"University of Colorado Denver","231","1075","360","146","192"
"Università di Pisa (Università degli Studi di Pisa)","232","447","374","238","187"
"Universität Münster","233","350","304","411","204"
"Dalhousie University","233","813","209","216","307"
"University of Twente / Universiteit Twente","235","535","204","242","323"
"University of Leicester","236","276","201","261","339"
"Tohoku University / 東北大学","237","385","424","201","181"
"Universidad de Granada","238","103","317","182","269"
"(1) Korea Advanced Institute of Science & Technology KAIST","238","140","382","221","217"
"Indiana University/Purdue University Indianapolis","240","813","234","361","274"
"Universität zu Köln","240","458","219","364","301"
"Macquarie University","242","593","263","175","297"
"University of Saint Andrews","243","482","172","239","382"
"Radboud University / Radboud Universiteit Nijmegen","244","436","366","176","224"
