Institution;Studiengang;Kontinent;Land;Stadt;Start;Min.Studiumsdauer [%m];Max.Studiumsdauer [%m];Abschlusstyp;Modus;Sprache;Unterrichtstyp;Beschreibung;Gesamt-Rang;Aktueller-Rang;Impact-Rang;Open-Rang;Excellence-Rang
Johns Hopkins University;Master of Science in Government Analytics;Nordamerika;USA;Washington;;;;Master;Part-time;English;Online;The Master of Science in Government Analytics prepares students to become leaders in the data revolution. Students will develop expertise in analytical methods that are increa                                            ...                                                    +                        ;15;118;34;41;6
Carnegie Mellon University in Australia;Master of Science in Information Technology (Business Intelligence and Data Analytics) 21-Month Track;Australia;Australia;Adelaide;;;;Master;Full-time;English;Campus;The MSIT-BIDA program combines a comprehensive information technology and management curriculum with BIDA courses, a compulsory 400 hours of internship and an industry-based D                                            ...                                                    +                        ;38;71;21;36;124
Tufts University ;MSc in Data Analytics;Nordamerika;USA;Medford;Aug;;60;Master;Full-time;English;Campus;An interdisciplinary program that provides graduate students with a competitive edge in developing analytical skills to interpret data across disciplines, translating it into                                             ...                                                    +                        ;87;149;53;157;243
Tufts University ;MSc in Data Science;Nordamerika;USA;Medford;Aug;;;Master;Full-time;English;Campus;The M.S. in Data Science is offered jointly by the departments of Computer Science and Electrical and Computer Engineering.                                    ;87;149;53;157;243
Ghent University;Master of Science in Statistical Data Analysis;Europa;Belgium;Ghent;Sep;;;Master;;English;Campus;Increasing computer power and the professional need to extract objective information from observed data have led to complex databases. Statistical science has become a broad d                                            ...                                                    +                        ;95;17;230;85;68
Ghent University;Master of Science in Business Engineering - Data Analytics;Europa;Belgium;Ghent;Sep;24;;Master;Full-time;English;Campus;A business engineer has a thorough knowledge of the discipline of business administration and technology, i.e. technological products and processes. In this respect, a busines                                            ...                                                    +                        ;95;17;230;85;68
Colorado State University;MS - Data Analytics;Nordamerika;USA;Aurora;;24;;Master;Full-time;English;Online;Modern businesses are rapidly evolving in an effort to keep up with consumer demands. To stay on top of trends and ahead of competitors, many are hiring teams of data analytic                                            ...                                                    +                        ;110;128;68;143;289
VU University of Amsterdam;Master in Econometrics and Operations Research: Econometrics and Data Science;Europa;Netherlands;Amsterdam;Sep;;;Master;Full-time;English;Campus;In our specialization Econometrics and Data Science of the Econometrics and Operations Research master's program, we welcome you in the fast-developing world of econometrics a                                            ...                                                    +                        ;129;522;286;132;63
VU University of Amsterdam;Master in Econometrics and Operations Research: Marketing Data Science;Europa;Netherlands;Amsterdam;Sep;;;Master;Full-time;English;Campus;Marketing Data Science is a specialization of the Econometrics and Operations Research master's program. This hands-on study into econometric methods for analyzing marketing d                                            ...                                                    +                        ;129;522;286;132;63
VU University of Amsterdam;Master in Finance: Duisenberg Honours Programme in Finance and Technology;Europa;Netherlands;Amsterdam;Sep;;;Master;Full-time;English;Campus;Data science: a shock to the financial system, or its biggest opportunity? The availability of big data, in combination with rapidly increasing computing power, is uncovering                                             ...                                                    +                        ;129;522;286;132;63
VU University of Amsterdam;Bachelor in Econometrics and Operations Research: Econometrics and Data Science;Europa;Netherlands;Amsterdam;Sep;36;;Bachelor;Full-time;English;Campus;During the bachelor's programme in Econometrics and Data Science at VU Amsterdam, you will learn how to solve problems in business, economics and finance, using data science t                                            ...                                                    +                        ;129;522;286;132;63
Rheinisch Westfalische Technische Hochschule Aachen;M.Sc. Data Analytics and Decision Science;Europa;Germany;Aachen;Oct;;;Master;Full-time;English;Campus;This exciting new master course is designed at the intersection of the fields of Data Analytics and Decision Science (Operations Research) and graduates will learn how to comb                                            ...                                                    +                        ;159;181;190;217;176
University of Padova;Master of Science in Physics of Data;Europa;Italy;Padua;Oct;24;;Master;Full-time;English;Campus;The Master’s degree provides new theoretical and computational tools to tackle the explosion of datasets within the physicist mindset. It combines advanced knowledge in the fi                                            ...                                                    +                        ;162;141;402;99;85
University of Padova;Master of Science in Data Science;Europa;Italy;Padua;Oct;24;;Master;Full-time;English;Campus;The Master’s degree intends to build data scientists whose solid technical background is complemented by a multidisciplinary preparation on various fields in which big data em                                            ...                                                    +                        ;162;141;402;99;85
University of Milan;Master of Science in Data Science and Economics;Europa;Italy;Milan;;24;;Master;Full-time;English;Campus;The Master of Science in “Data Science and Economics” (DSE) responds to the training needs of data scientists in the economic field. The course provides skills to analyze and                                             ...                                                    +                        ;168;374;371;110;98
George Mason University;Master of Science in Data Analytics Engineering;Nordamerika;USA;Fairfax;Sep;;;Master;Part-time;English;Online;Gain the deep statistical knowledge and technical savviness you need to advance to data scientist, engineer and analyst roles. You'll learn to deliver a process that transform                                            ...                                                    +                        ;171;489;61;202;480
London School of Economics and Political Science;Online BSc Data Science and Business Analytics;Europa;United Kingdom;Holborn;Aug;36;;Bachelor;Full-time;English;Online;Start or continue your bachelor’s online with the University of London. Academic direction from LSE ranked #2 in the world for social sciences and management. Complete in as f                                            ...                                                    +                        ;182;483;89;147;440
City University of Hong Kong;Bachelor of Engineering in Data and Systems Engineering;Asien;Hong Kong;Kowloon Tong;Sep;48;;Bachelor;Full-time;English;Campus;This major aims at equipping students with strong analytical and decision-making skills in analyzing, managing, and improving nowadays enterprise-class systems via offering so                                            ...                                                    +                        ;186;648;298;159;166
City University of Hong Kong;Bachelor of Engineering in Computer and Data Engineering;Asien;Hong Kong;Kowloon Tong;Sep;48;;Bachelor;Full-time;English;Campus;We aim to provide students with a strong foundation and broad skills in the computer and data technologies. Students will be equipped with the theoretical and practical aspect                                            ...                                                    +                        ;186;648;298;159;166
City University of Hong Kong;Bachelor of Science in Data Science;Asien;Hong Kong;Kowloon Tong;Sep;48;;Bachelor;Full-time;English;Campus;This major is to provide graduates in data science with essential training of quantitative knowledge, statistical theory, data mining technology and computing tools for the ef                                            ...                                                    +                        ;186;648;298;159;166
Queensland University of Technology;Master of Data Analytics;Australia;Australia;Brisbane;;24;;Master;Full-time;English;Campus;Develop data analytics skills that will future focus your career with a Master of Data Analytics degree that turns data into insight and intelligence.                                    ;208;579;231;195;254
Aalto University  Aaltoyliopisto;Master of Science in Computer, Communication and Information Sciences - Machine Learning, Data Science and Artificial Intelligence;Europa;Finland;Espoo;;24;;Master;Full-time;Multiple;Campus;Machine learning is one of the strong points of Aalto University. This solid education in modern computational data analysis gives you excellent opportunities for a career in                                             ...                                                    +                        ;230;163;273;305;258
Aalto University  Aaltoyliopisto;Bachelor of Science in Science and Technology (SCI) - Data Science;Europa;Finland;Espoo;Aug;;60;Bachelor;Full-time;English;Campus;Data science gives you the foundations to become a top-level expert in the modern knowledge society. You will obtain the required skills to solve real-world problems using met                                            ...                                                    +                        ;230;163;273;305;258
